"filename", "language", "XML", "Java Properties", "Java", "Batch", "comment", "blank", "total"
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\configuracion\OpenAPIConfig.class", "Java", 0, 0, 28, 0, 0, 0, 28
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\controller\Controlador.class", "Java", 0, 0, 69, 0, 0, 1, 70
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\CarritoEntity.class", "Java", 0, 0, 11, 0, 0, 0, 11
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\CategoriaEntity.class", "Java", 0, 0, 10, 0, 0, 0, 10
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\DetalleFacturaEntity.class", "Java", 0, 0, 15, 0, 0, 0, 15
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\FacturaEntity.class", "Java", 0, 0, 24, 0, 0, 0, 24
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\InventarioEntity.class", "Java", 0, 0, 17, 0, 0, 0, 17
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\LibroCarritoEntity.class", "Java", 0, 0, 19, 0, 0, 0, 19
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\LibrosEntity.class", "Java", 0, 0, 33, 0, 0, 0, 33
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\MedioPagoEntity.class", "Java", 0, 0, 12, 0, 0, 0, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\TipoDocumentoEntity.class", "Java", 0, 0, 14, 0, 0, 0, 14
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\TipoLibroEntity.class", "Java", 0, 0, 12, 0, 0, 0, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\TipoUsuarioEntity.class", "Java", 0, 0, 12, 0, 0, 0, 12
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\UsuarioEntity.class", "Java", 0, 0, 36, 0, 0, 0, 36
"c:\Users\valet\OneDrive\Documents\universidad\GestionCalidad\Libreria-books\back\target\classes\com\libreria\entity\VentasEntity.class", "Java", 0, 0, 16, 0, 0, 0, 16
